,Наименование ДП,Нематериальные активы,Основные средства,Внеоборотные активы,Дебиторская задолженность,Оборотные активы,Уставный капитал,Капитал и резервы,Заёмные средства (долгосрочные),Долгосрочные обязательства,Заёмные средства (краткосрочные),Кредиторская задолженность,Краткосрочные обязательства,Выручка,Себестоимость продаж,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи,"Макс. ПДЗ за 2019 год, дней"
0,0,9050955.414012738,2145239490.44586,2440077707.006369,3475461146.496815,6077447770.700637,629400000.0,2289273885.350318,0.0,271221019.1082802,392391719.7452229,5476906369.426751,5957030573.248407,37039522292.99363,34383128662.42038,746182802.5477706,871619108.2802547,0
1,1,34394.90445859872,152642675.1592357,153892356.6878981,156347770.7006369,291463694.2675159,1345859.872611465,310658598.7261146,0.0,5033757.961783439,63498726.11464968,66164968.15286624,129663694.2675159,543430573.2484076,416979617.8343949,44800636.94267516,51357324.84076433,0
2,2,8694904.458598725,928738853.5031848,1018682165.605096,228049681.5286624,1590216560.509554,19644585.98726114,2378698089.171975,0.0,2843949.044585987,0.0,123771337.5796178,227356687.8980892,2592420382.165605,2316724203.821656,85529936.30573247,-92989808.91719744,7
3,3,0.0,14264915923.56688,18201022292.99363,5362189808.917197,7929949681.528662,20382165.60509554,15085494904.4586,5998324840.764331,6928275796.178344,966515286.6242038,2522167515.923567,4117201273.88535,21657988535.03185,11713152229.29936,6840634394.904458,7869977070.063694,0
4,4,449044.5859872612,30089698726.11465,100154213375.7962,11246701273.88535,20771890445.85987,595541.4012738853,10544059872.61146,90432717197.45222,92237910191.0828,13562033757.96178,3855060509.55414,18144133757.96178,86119098089.17197,26525468789.80892,45936061783.43949,53075239490.44585,2
5,5,22117197.4522293,35873358598.72611,36543041401.27389,6165454777.070064,44115340127.38853,1983439.49044586,63850556050.95541,4142978980.89172,6026959872.611465,3446008280.254777,7086105732.484076,10780865605.09554,46379745859.87261,14396717834.3949,34894135031.84713,30425531847.13376,0
6,6,489808.9171974522,11142412738.8535,42873052229.29936,10995872611.46497,26334457324.84076,2717197.452229299,1500636942.675159,59883778343.94904,60827592993.63057,711331210.1910827,5925311464.968153,6879279617.834394,75005711464.96815,49694920382.1656,12242540127.38854,20944695541.40127,0
7,7,0.0,31544585.98726114,74730573.24840765,47075796.17834394,122335031.8471338,111464.9681528662,158047770.7006369,0.0,1170063.694267516,11165605.0955414,24449681.52866242,37847770.70063694,397070063.6942675,366075796.178344,8917834.394904459,16398726.11464968,8
8,8,0.0,436887261.1464968,438275159.2356688,110446496.8152866,281873248.4076433,170700.6369426752,412044585.9872611,181376433.1210191,188318471.3375796,31847133.75796178,76364331.21019109,119785350.3184713,1031371974.522293,922115923.5668788,98444585.98726116,65754140.12738853,14
9,9,11464.96815286624,31663057.32484076,31733121.01910828,123931210.1910828,226256050.955414,87898.08917197451,107647133.7579618,0.0,1495541.401273885,33610828.02547771,114919108.2802548,148846496.8152866,339275159.2356688,289257324.8407643,1393630.573248408,7669426.751592357,124
10,10,112451592.3566879,63105257961.78344,186463100636.9426,24092142675.15924,62349766242.03822,5335668.789808917,112583657961.7834,88849105095.5414,95423433121.0191,13606219108.28025,25141844585.98726,40805775796.17834,275651303821.6561,189451666242.0382,88172105732.48407,64321452866.24204,77
11,11,0.0,96886624.20382166,116119745.2229299,43500636.94267516,194750955.4140128,22292.99363057325,66761783.43949044,15222929.93630573,17129936.30573248,188929299.3630573,36165605.0955414,226978980.8917197,676472611.4649681,615086624.2038217,-23676433.1210191,3742038.21656051,28
12,12,0.0,58159235.66878981,58635031.84713376,218949681.5286624,400156687.8980892,720382.1656050956,182270700.6369427,26114649.68152866,26501910.82802548,66878980.89171974,183140127.3885351,250019108.2802548,694632484.0764331,669937579.6178343,6168152.866242038,24694904.45859873,88
13,13,0.0,213025477.7070064,5259647133.757961,1877126114.649682,3025082802.547771,170700.6369426752,2016145222.929936,0.0,0.0,0.0,5690907643.312101,6268584713.375796,1705433121.019108,1507584076.433121,54520382.16560509,29682802.5477707,14
14,14,106369.4267515924,188259235.6687898,188365605.0955414,202740127.3885351,509375159.2356688,396815.2866242038,28919108.28025478,86624203.82165605,86624203.82165605,43819108.28025477,537719745.22293,582197452.2292993,924578343.9490446,701822292.9936305,17281528.66242038,27756050.95541401,3
15,15,2547.770700636942,373128025.477707,642540764.3312101,340383439.4904459,702433121.0191083,3143312.101910828,324971337.5796178,407107006.3694267,416980891.7197452,227924203.821656,371597452.2292994,603021656.0509554,1166204458.598726,904256687.8980892,42890445.85987261,129052229.299363,0
